bin,case,status_group,zip,in_outbreak_zip,community_board,nta,lat,lon,n_towers,n_active_towers,reg_age_days,n_samples,never_sampled,days_since_last_sample,n_samples_12mo,n_samples_24mo,median_gap_days,max_gap_days,overdue_90d,n_inspections,n_violations,n_citations,ever_violation,n_violation_types,days_since_last_inspection
1042137,0,,10065,0,108,MN40,40.764475,-73.964456,2,2,3950,0,1,,0,0,,,1,88,81,59,1,3,227
1020214,0,,10016,0,106,MN20,40.747145,-73.977072,2,2,3950,0,1,,0,0,,,1,29,23,14,1,3,224
1049252,1,D_added_by0716,10075,1,,MN32,40.772621,-73.952892,1,1,3950,0,1,,0,0,,,1,28,20,18,1,3,224
1025144,0,,10019,0,104,MN15,40.761562,-73.98664,2,2,3950,2,0,23,2,2,299,299,0,89,76,54,1,3,181
1087065,0,,10014,0,,MN23,40.734105,-74.00971,1,1,3949,0,1,,0,0,,,1,25,21,15,1,3,601
1001648,0,,10007,0,,MN24,40.715178,-74.005909,1,1,3949,0,1,,0,0,,,1,31,22,13,1,3,203
1042610,0,,10021,0,108,MN40,40.768602,-73.961992,1,1,3949,0,1,,0,0,,,1,29,22,18,1,3,140
1038760,0,,10017,0,,MN19,40.750839,-73.969199,1,1,3949,0,1,,0,0,,,1,0,0,0,0,0,
1040754,0,,10022,0,108,MN40,40.763717,-73.971301,1,1,3949,0,1,,0,0,,,1,31,22,12,1,3,225
1080148,0,,10011,0,102,MN23,40.735998,-73.995782,1,2,3949,0,1,,0,0,,,1,42,39,30,1,3,345
1041902,0,,10022,0,,MN40,40.762812,-73.968648,1,1,3949,0,1,,0,0,,,1,25,19,12,1,3,477
1000821,0,,10004,0,101,MN25,40.705182,-74.011506,1,1,3949,0,1,,0,0,,,1,11,3,3,1,1,1268
1017001,0,,10016,0,,MN17,40.746544,-73.984619,1,1,3949,0,1,,0,0,,,1,18,17,9,1,2,2536
1080732,0,,10018,0,,MN17,40.751721,-73.986021,1,1,3948,0,1,,0,0,,,1,16,10,9,1,3,800
1014237,0,,10001,0,,MN17,40.747028,-73.995362,1,1,3948,0,1,,0,0,,,1,22,14,6,1,2,482
1014236,0,,10001,0,,MN17,40.746468,-73.99441,6,6,3948,0,1,,0,0,,,1,105,71,4,1,3,532
1016079,0,,10003,0,105,MN13,40.737044,-73.992844,2,3,3950,5,0,24,5,5,67.5,161,0,41,28,18,1,3,366
1038917,0,,10017,0,106,MN19,40.753431,-73.96897,1,1,3947,0,1,,0,0,,,1,0,0,0,0,0,
1083636,0,,10001,0,105,MN17,40.749169,-73.986339,1,1,3947,0,1,,0,0,,,1,22,19,12,1,3,1792
1001014,0,,10038,0,101,MN25,40.706859,-74.00699,1,1,3947,0,1,,0,0,,,1,34,28,18,1,3,981
1048813,0,,10128,1,108,MN32,40.779045,-73.952414,1,1,3947,0,1,,0,0,,,1,24,21,15,1,3,442
1075907,0,,10002,0,,MN27,40.720069,-73.99127,1,1,3947,0,1,,0,0,,,1,33,24,16,1,3,1052
1038779,0,,10017,0,,MN19,40.75202,-73.970195,1,1,3944,0,1,,0,0,,,1,47,40,29,1,3,685
1035361,0,,10017,0,,MN17,40.754174,-73.979094,1,1,3944,0,1,,0,0,,,1,26,26,23,1,3,2025
1080830,0,,10036,0,105,MN17,40.755795,-73.988482,2,2,3969,4,0,22,4,4,90,92,0,60,40,21,1,3,146
1014304,0,,10001,0,105,MN17,40.749066,-73.993904,1,1,3944,0,1,,0,0,,,1,24,14,10,1,3,1059
1024877,0,,10019,0,105,MN17,40.765091,-73.982094,3,6,3970,5,0,2,5,5,83.5,88,0,46,35,24,1,3,531
1041721,0,,10021,0,,MN40,40.77414,-73.963412,1,1,3943,0,1,,0,0,,,1,34,30,19,1,3,142
1012831,0,,10001,0,,MN13,40.751151,-73.999787,4,4,3943,8,0,27,8,8,28,90,0,39,19,0,1,2,268
1087533,0,,10011,0,,MN13,40.740992,-73.997149,1,1,3943,0,1,,0,0,,,1,51,43,30,1,3,799
1045837,0,,10021,0,,MN31,40.76685,-73.954477,1,1,3943,0,1,,0,0,,,1,28,18,12,1,3,836
1087531,0,,10011,0,,MN23,40.732709,-73.998549,2,2,3943,0,1,,0,0,,,1,61,51,35,1,3,511
1034799,0,,10019,0,,MN17,40.761537,-73.975999,1,1,3943,0,1,,0,0,,,1,17,11,7,1,3,1688
1034252,0,,10036,0,,MN17,40.755971,-73.979484,1,1,3942,0,1,,0,0,,,1,0,0,0,0,0,
1034514,0,,10019,0,,MN17,40.759715,-73.977479,1,1,3942,0,1,,0,0,,,1,28,24,15,1,3,1437
1035381,0,,10017,0,,MN19,40.752642,-73.977279,2,3,3942,0,1,,0,0,,,1,15,15,11,1,3,3275
1016881,0,,10010,0,,MN13,40.743281,-73.986629,1,1,3942,0,1,,0,0,,,1,14,14,10,1,3,2403
1012493,0,,10018,0,104,MN13,40.756147,-73.998018,3,3,3270,6,0,15,6,6,84,86,0,66,46,32,1,3,559
1023723,0,,10019,0,,MN17,40.765259,-73.978676,1,1,3942,0,1,,0,0,,,1,16,11,7,1,3,905
1086346,0,,10003,0,103,MN22,40.727486,-73.990702,1,1,3942,0,1,,0,0,,,1,46,39,27,1,3,714
1014730,0,,10011,0,,MN13,40.741077,-73.995197,1,1,3942,0,1,,0,0,,,1,36,28,21,1,3,1101
1017990,0,,,0,,MN21,40.738549,-73.985761,1,1,3942,0,1,,0,0,,,1,10,7,5,1,3,569
1059298,0,,10027,0,,MN11,40.810059,-73.952089,1,1,3941,0,1,,0,0,,,1,36,26,18,1,3,427
1059521,0,,10027,0,,MN09,40.809691,-73.958562,1,1,3941,0,1,,0,0,,,1,32,22,15,1,3,146
1079205,0,,10027,0,109,MN09,40.809845,-73.962564,1,1,3941,0,1,,0,0,,,1,18,8,6,1,3,174
1070846,0,,10024,0,107,MN12,40.787416,-73.974415,1,1,3941,0,1,,0,0,,,1,11,5,3,1,2,1017
1088565,0,,10019,0,105,MN17,40.765198,-73.979279,2,2,3941,2,0,21,2,2,302,302,0,36,32,23,1,3,499
1083861,0,,10020,0,105,MN17,40.759983,-73.980349,2,2,3941,0,1,,0,0,,,1,22,22,12,1,2,3445
1086050,0,,10010,0,105,MN13,40.742313,-73.991429,1,1,3940,0,1,,0,0,,,1,23,16,12,1,3,763
1090701,0,,10016,0,106,MN20,40.744114,-73.973276,1,2,3940,0,1,,0,0,,,1,0,0,0,0,0,
1089024,0,,10017,0,106,MN20,40.749574,-73.975324,4,5,3958,12,0,17,12,12,27,61,0,60,30,21,1,3,224
1022699,0,,10019,0,105,MN17,40.760096,-73.983973,3,3,3936,7,0,21,7,7,57.5,87,0,94,63,41,1,3,185
1075676,0,,10002,0,,MN27,40.719778,-73.988088,1,1,3936,1,0,268,1,1,,,1,19,16,12,1,3,314
1012268,0,,10001,0,104,MN13,40.750927,-74.005955,5,5,3972,8,0,27,8,8,25,85,0,41,9,9,1,1,484
1041080,0,,10065,0,108,MN40,40.766573,-73.96878,1,1,3936,0,1,,0,0,,,1,11,6,4,1,3,938
1034240,0,,10036,0,,MN17,40.756477,-73.982472,1,1,3936,0,1,,0,0,,,1,30,25,15,1,3,464
1063614,0,,10033,0,,MN35,40.848357,-73.932207,1,1,3936,0,1,,0,0,,,1,44,38,25,1,3,990
1038902,0,,10017,0,,MN19,40.751931,-73.968711,1,1,3935,0,1,,0,0,,,1,0,0,0,0,0,
1044696,0,,10065,0,,MN31,40.76324,-73.959725,1,1,3934,0,1,,0,0,,,1,48,43,27,1,3,545
1076779,0,,10021,0,,MN40,40.77403,-73.963217,2,2,3934,2,0,8,2,2,320,320,0,61,46,29,1,3,133
1033197,0,,10024,0,107,MN12,40.788728,-73.976122,2,2,3941,2,0,56,2,2,293,293,0,166,145,107,1,3,514
1013682,0,,10018,0,,MN15,40.756066,-73.992348,1,1,3933,0,1,,0,0,,,1,41,37,26,1,3,241
1088885,0,,10011,0,104,MN13,40.742226,-74.002494,1,1,3933,0,1,,0,0,,,1,29,20,14,1,3,791
1030159,0,,10023,0,107,MN12,40.780848,-73.97896,1,1,3291,0,1,,0,0,,,1,38,34,28,1,3,1108
1077397,0,,10013,0,101,MN24,40.716386,-74.008542,1,1,3927,0,1,,0,0,,,1,37,37,28,1,3,631
1038896,0,,10017,0,106,MN19,40.752548,-73.970201,1,1,3923,0,1,,0,0,,,1,38,31,20,1,3,370
1051713,0,,,0,,MN33,40.786558,-73.951069,1,1,3922,0,1,,0,0,,,1,29,26,18,1,3,491
1086161,0,,10013,0,101,MN24,40.715821,-74.003539,1,1,3920,0,1,,0,0,,,1,13,5,5,1,2,525
1038623,0,,,0,,MN19,40.760881,-73.966299,2,2,3955,2,0,14,2,2,28,28,0,46,40,32,1,3,514
1087537,0,,10016,0,105,MN20,40.746737,-73.981576,5,6,3958,11,0,8,11,11,10.5,88,0,112,74,56,1,3,196
1041236,0,,10065,0,108,MN40,40.768922,-73.967505,1,1,3908,0,1,,0,0,,,1,25,23,17,1,3,2324
1088207,0,,10003,0,102,MN23,40.727151,-73.991539,2,2,3943,4,0,3,4,4,42,127,0,34,26,18,1,3,962
1000000,0,,10282,0,101,MN25,40.716207,-74.015053,1,1,3900,0,1,,0,0,,,1,239,133,0,1,3,225
1012527,0,,10018,0,,MN13,40.757628,-73.997495,1,1,3886,0,1,,0,0,,,1,39,34,24,1,3,696
1001027,0,,10005,0,101,MN25,40.709036,-74.010626,3,3,3956,4,0,7,4,4,22,58,0,42,13,13,1,2,198
1080843,0,,10019,0,105,MN17,40.76238,-73.984366,1,1,3789,0,1,,0,0,,,1,32,22,15,1,3,226
1042799,0,,10021,0,,MN40,40.770432,-73.963753,1,1,3779,0,1,,0,0,,,1,11,0,0,0,0,191
1002029,0,,10013,0,101,MN24,40.718077,-74.010187,2,2,3759,4,0,17,4,4,28,248,0,90,82,47,1,3,518
1000044,0,,10004,0,101,MN25,40.705012,-74.013983,3,4,3957,5,0,13,5,5,29.0,216,0,81,51,36,1,3,282
1052678,0,,10029,0,,MN33,40.788613,-73.943072,1,1,3732,0,1,,0,0,,,1,14,8,6,1,3,451
1087549,0,,10002,0,,MN27,40.720022,-73.991659,1,1,3710,0,1,,0,0,,,1,23,16,10,1,3,1056
1008470,0,,10012,0,102,MN23,40.727646,-73.99488,1,1,3698,1,0,345,1,1,,,1,18,11,9,1,3,483
1007711,0,,10012,0,102,MN24,40.725436,-74.001165,1,1,3689,0,1,,0,0,,,1,29,24,16,1,3,1364
1011949,0,,10014,0,102,MN23,40.736945,-74.007581,1,1,3664,0,1,,0,0,,,1,36,29,20,1,3,191
1035777,0,,10022,0,105,MN17,40.760772,-73.972786,1,1,3656,0,1,,0,0,,,1,25,23,14,1,3,1921
1022053,0,,10016,0,,MN20,40.74127,-73.974772,2,3,3961,0,1,,0,0,,,1,84,71,0,1,3,384
1032754,0,,10024,0,107,MN12,40.786604,-73.97951,2,2,3958,2,0,15,2,2,28,28,0,54,38,0,1,3,349
1062952,0,,10032,0,112,MN36,40.838306,-73.938888,1,1,3600,0,1,,0,0,,,1,65,63,0,1,3,1351
1056587,0,,10025,0,107,MN12,40.7994,-73.967291,1,2,3585,0,1,,0,0,,,1,17,16,0,1,3,2443
1052179,0,,10029,0,111,MN33,40.79467,-73.944071,1,1,3600,0,1,,0,0,,,1,30,30,0,1,3,2010
1056997,0,,10025,0,109,MN09,40.80435,-73.962867,1,1,3572,0,1,,0,0,,,1,16,8,7,1,3,587
1087552,0,,10035,0,111,MN34,40.802584,-73.935258,2,2,654,4,0,2,4,4,31,272,0,26,19,14,1,3,246
1008423,0,,10012,0,102,MN23,40.72688,-73.994646,1,1,3552,0,1,,0,0,,,1,17,14,11,1,3,1364
1017122,0,,10016,0,,MN20,40.748934,-73.982691,4,4,3555,9,0,6,9,9,24.0,89,0,99,71,52,1,3,520
1038671,0,,10017,0,106,MN19,40.750887,-73.970758,1,1,3534,0,1,,0,0,,,1,24,15,10,1,3,716
1015938,0,,10018,0,,MN17,40.750098,-73.983813,2,2,3963,2,0,273,2,2,43,43,1,70,65,45,1,3,246
1012543,0,,10011,0,104,MN13,40.742879,-74.005828,1,1,3527,0,1,,0,0,,,1,72,70,46,1,3,174
1035374,0,,10017,0,105,MN17,40.753974,-73.977254,1,1,3524,0,1,,0,0,,,1,21,9,7,1,3,223
1035040,0,,10019,0,105,MN17,40.762883,-73.975857,1,1,3524,0,1,,0,0,,,1,13,6,4,1,2,961
1005546,0,,10002,0,103,MN27,40.722768,-73.988145,1,1,3524,0,1,,0,0,,,1,21,13,9,1,3,1008
1041674,0,,10021,0,108,MN40,40.774079,-73.965834,1,1,3517,0,1,,0,0,,,1,0,0,0,0,0,
1048533,0,,10028,1,108,MN32,40.774361,-73.954316,1,1,3502,0,1,,0,0,,,1,39,36,27,1,3,139
1016006,0,,10018,0,105,MN17,40.751905,-73.983091,1,1,3494,0,1,,0,0,,,1,0,0,0,0,0,
1009376,0,,10003,0,102,MN23,40.735207,-73.994176,1,1,3514,0,1,,0,0,,,1,28,18,13,1,3,742
1035770,0,,10022,0,105,MN17,40.761074,-73.97323,2,2,3968,5,0,8,5,5,83.5,84,0,10,2,2,1,1,225
1039666,0,,10022,0,106,MN19,40.755821,-73.966912,1,2,3466,0,1,,0,0,,,1,33,24,14,1,3,325
1001399,0,,10007,0,101,MN24,40.712821,-74.008296,1,1,3460,0,1,,0,0,,,1,62,62,45,1,3,700
1081150,0,,10022,0,105,MN17,40.758621,-73.977122,1,1,3458,0,1,,0,0,,,1,25,24,19,1,3,2012
1085696,1,A_doh0710_complete,10128,1,108,MN32,40.779371,-73.944603,2,2,3457,0,1,,0,0,,,1,65,55,0,1,3,325
1008847,0,,10003,0,102,MN23,40.731906,-73.996587,1,1,3472,0,1,,0,0,,,1,32,28,16,1,3,1002
1037889,0,,10017,0,106,MN19,40.75372,-73.971641,1,1,3450,0,1,,0,0,,,1,29,23,17,1,3,678
1051374,0,,10128,1,108,MN32,40.777955,-73.943994,1,1,3454,0,1,,0,0,,,1,32,26,3,1,3,359
1043870,0,,10065,0,108,MN31,40.764818,-73.962716,1,1,3438,1,0,349,1,1,,,1,24,19,13,1,3,848
1035429,0,,10017,0,105,MN17,40.757186,-73.977866,1,1,3436,0,1,,0,0,,,1,24,18,11,1,3,860
1076314,0,,10021,0,108,MN31,40.769084,-73.958136,1,1,3422,0,1,,0,0,,,1,25,20,13,1,3,1225
1016286,0,,10010,0,105,MN13,40.739914,-73.986569,2,2,3411,5,0,8,5,5,85.0,90,0,60,49,32,1,3,464
1037577,0,,10017,0,106,MN19,40.752266,-73.972075,2,2,3363,0,1,,0,0,,,1,55,42,30,1,3,800
1001511,0,,10013,0,101,MN24,40.716329,-74.009199,1,1,3355,0,1,,0,0,,,1,40,33,24,1,3,653
1044750,0,,10065,0,108,MN31,40.765379,-73.960171,3,3,3955,4,0,253,4,4,27,30,1,76,50,30,1,3,134
1000803,0,,10006,0,,MN25,40.706345,-74.013428,5,5,3969,11,0,2,11,11,20.5,123,0,103,72,51,1,3,589
1085548,0,,10044,0,,MN31,40.753937,-73.957106,1,1,3320,0,1,,0,0,,,1,14,8,4,1,3,939
1011185,0,,10014,0,102,MN23,40.734266,-74.006195,2,2,3958,7,0,22,7,7,25.5,200,0,45,30,18,1,3,707
