bin,case,status_group,zip,in_outbreak_zip,community_board,nta,lat,lon,n_towers,n_active_towers,reg_age_days,n_samples,never_sampled,days_since_last_sample,n_samples_12mo,n_samples_24mo,median_gap_days,max_gap_days,overdue_90d,n_inspections,n_violations,n_citations,ever_violation,n_violation_types,days_since_last_inspection,bbl,yearbuilt,numfloors,unitsres,unitstotal,bldgarea,assesstot,landuse,bldg_age_yrs,log_assess,reg_age_yrs,days_since_last_inspection_imp
1048522,0,,10075.0,1,108.0,MN32,40.774663,-73.956114,1,1,3955,4,0,10.0,4,4,62.0,233.0,0,34,28,18,1,3,492.0,1015250036,1962.0,12.0,95.0,95.0,94404.0,9419850.0,3,64.0,6.974043987220589,10.82819986310746,492.0
1082303,1,D_added_by0716,10028.0,1,108.0,MN32,40.773394,-73.945901,1,1,3962,5,0,10.0,5,5,53.0,227.0,0,28,22,14,1,3,959.0,1015807501,1999.0,21.0,40.0,43.0,104462.0,22341759.0,4,27.0,7.34911736277782,10.847364818617386,959.0
1047052,1,B_doh0710_expected,10128.0,1,108.0,MN40,40.785432,-73.957555,1,2,3671,6,0,21.0,6,6,85.0,118.0,0,15,11,10,1,3,505.0,1015040001,1909.0,7.0,0.0,1.0,82000.0,14872500.0,8,117.0,7.172383977597002,10.050650239561945,505.0
1044096,0,,10075.0,1,108.0,MN31,40.772825,-73.957913,1,1,3949,5,0,22.0,5,5,30.5,241.0,0,24,18,12,1,3,420.0,1014320001,1965.0,19.0,90.0,99.0,132445.0,15165000.0,3,61.0,7.1808424146466825,10.811772758384668,420.0
1046469,0,,10075.0,1,108.0,MN40,40.776828,-73.961738,1,2,1808,3,0,23.0,3,3,55.5,83.0,0,5,0,0,0,0,414.0,1014917504,2020.0,18.0,17.0,20.0,69675.0,11146950.0,4,6.0,7.0471560530909185,4.950034223134839,414.0
1047654,1,B_doh0710_expected,10028.0,1,,MN40,40.777494,-73.955506,1,1,1143,6,0,14.0,6,6,22.0,231.0,0,29,16,10,1,3,224.0,1015120040,1963.0,21.0,178.0,185.0,224000.0,25520850.0,4,63.0,7.406895134945757,3.1293634496919918,224.0
1050296,0,,10128.0,1,108.0,MN32,40.782636,-73.947349,1,1,3972,5,0,2.0,5,5,59.0,191.0,0,10,1,0,1,1,679.0,1015560040,1968.0,5.0,0.0,3.0,56700.0,6833700.0,5,58.0,6.834655909317242,10.874743326488707,679.0
1047968,1,A_doh0710_complete,10128.0,1,108.0,MN40,40.780004,-73.954728,1,2,2803,6,0,17.0,6,6,90.0,90.0,0,9,0,0,0,0,139.0,1015150046,2018.0,19.0,56.0,59.0,154952.0,23640300.0,3,8.0,7.373652983525541,7.67419575633128,139.0
1087075,0,,10128.0,1,,MN40,40.787159,-73.955521,1,1,3934,6,0,17.0,6,6,81.0,85.0,0,18,10,7,1,3,805.0,1015077502,1920.0,7.0,4.0,4.0,46260.0,13358250.0,2,106.0,7.125749567037421,10.770704996577686,805.0
1048059,1,A_doh0710_complete,10128.0,1,,MN40,40.780216,-73.953836,1,1,3926,1,0,20.0,1,1,,,0,22,16,11,1,3,485.0,1015160042,1980.0,5.0,39.0,39.0,50874.0,5465250.0,3,46.0,6.737610032916493,10.74880219028063,485.0
1081314,1,D_added_by0716,10028.0,1,,MN32,40.774016,-73.946103,2,2,3934,9,0,6.0,9,9,25.0,90.0,0,20,4,2,1,2,524.0,1015810023,1920.0,8.0,0.0,1.0,130918.0,34692750.0,8,106.0,7.540238726549732,10.770704996577686,524.0
1050025,1,A_doh0710_complete,10028.0,1,,MN32,40.777967,-73.95083,1,2,3942,2,0,9.0,2,2,22.0,22.0,0,33,28,19,1,3,450.0,1015490001,1964.0,21.0,692.0,698.0,690703.0,112971600.0,4,62.0,8.052969279647336,10.792607802874743,450.0
1049869,0,,10028.0,1,108.0,MN32,40.774479,-73.953666,1,1,2213,6,0,23.0,6,6,82.0,87.0,0,7,1,1,1,1,139.0,1015440001,,,,,,,,,,6.05886379192334,139.0
1043195,0,,10075.0,1,108.0,MN40,40.773764,-73.95975,1,1,2747,1,0,21.0,1,1,,,0,35,31,24,1,3,133.0,1014120022,1910.0,4.0,4.0,9.0,8300.0,3825450.0,4,116.0,6.582682529952833,7.520876112251882,133.0
1048537,1,B_doh0710_expected,10028.0,1,,MN32,40.774683,-73.954753,1,1,3949,1,0,23.0,1,1,,,0,22,19,14,1,3,486.0,1015260029,1971.0,11.0,21.0,21.0,18624.0,2331450.0,3,55.0,6.367626106062465,10.811772758384668,486.0
1051312,1,A_doh0710_complete,10128.0,1,,MN32,40.776697,-73.946126,1,1,3958,2,0,21.0,2,2,29.0,29.0,0,23,14,9,1,3,190.0,1015840001,1963.0,21.0,179.0,180.0,202322.0,23181750.0,3,63.0,7.3651462179371405,10.836413415468858,190.0
1046965,1,A_doh0710_complete,10128.0,1,108.0,MN40,40.783546,-73.958936,1,1,3943,5,0,30.0,5,5,48.5,209.0,0,22,17,12,1,3,969.0,1015010001,1961.0,21.0,57.0,60.0,109262.0,15986700.0,3,65.0,7.203758825240987,10.795345653661876,969.0
1047930,0,,10028.0,1,,MN40,40.779105,-73.956224,1,1,3928,4,0,16.0,4,4,39.0,264.0,0,19,12,7,1,2,573.0,1015140013,1915.0,8.0,0.0,1.0,76982.0,14032800.0,8,111.0,7.14714433554889,10.754277891854894,573.0
1081265,0,,10128.0,1,108.0,MN32,40.783708,-73.949847,1,1,3956,3,0,30.0,3,3,26.5,28.0,0,11,5,3,1,3,393.0,1015400006,1920.0,5.0,0.0,10.0,38655.0,4131000.0,5,106.0,6.616055194976586,10.830937713894592,393.0
1050357,0,,10075.0,1,108.0,MN32,40.772625,-73.952462,1,1,606,5,0,8.0,5,5,88.0,90.0,0,0,0,0,0,0,,1015590001,,,,,,,,,,1.6591375770020533,1318.0
1046787,1,D_added_by0716,10028.0,1,108.0,MN40,40.779377,-73.959426,1,1,3944,4,0,28.0,4,4,80.0,177.0,0,22,16,10,1,3,149.0,1014950049,1963.0,17.0,57.0,63.0,137375.0,19206450.0,3,63.0,7.283447100005615,10.798083504449007,149.0
1089798,0,,10128.0,1,108.0,MN32,40.779217,-73.948973,1,1,3293,5,0,8.0,5,5,64.0,182.0,0,5,2,2,1,1,435.0,1015517502,2015.0,34.0,82.0,83.0,159512.0,14814897.0,4,11.0,7.170698636410931,9.015742642026009,435.0
1091568,0,,10075.0,1,108.0,MN40,40.774129,-73.959075,1,2,1899,6,0,22.0,6,6,79.0,88.0,0,15,13,5,1,3,133.0,1014120052,,,,,,,,,,5.19917864476386,133.0
1051164,1,C_added_complete,10028.0,1,,MN32,40.772792,-73.946952,1,1,3962,4,0,3.0,4,4,27.0,31.0,0,21,16,11,1,3,703.0,1015790023,1973.0,42.0,123.0,125.0,345242.0,43046100.0,3,53.0,7.633933810256471,10.847364818617386,703.0
1046833,1,C_added_complete,10028.0,1,108.0,MN40,40.779679,-73.95757,1,1,3943,8,0,2.0,8,8,26.0,209.0,0,27,19,14,1,3,224.0,1014970034,1962.0,21.0,54.0,59.0,117879.0,14310000.0,3,64.0,7.155639633759776,10.795345653661876,224.0
1046686,1,A_doh0710_complete,10028.0,1,,MN40,40.778595,-73.962171,1,1,3958,2,0,21.0,2,2,247.0,247.0,0,24,18,14,1,3,350.0,1014930072,1978.0,23.0,70.0,72.0,109076.0,14447250.0,3,48.0,7.159785188027857,10.836413415468858,350.0
1046627,1,D_added_by0716,10028.0,1,108.0,MN40,40.776534,-73.959864,1,1,3957,4,0,14.0,4,4,100.0,160.0,0,16,10,7,1,2,135.0,1014920036,1963.0,21.0,66.0,70.0,155544.0,21438000.0,3,63.0,7.331184266586083,10.833675564681725,135.0
1073036,1,C_added_complete,10128.0,1,,MN40,40.786572,-73.956338,1,2,3956,7,0,23.0,7,7,53.5,90.0,0,8,1,1,1,1,163.0,1015060001,1915.0,5.0,1.0,1.0,14685.0,2883660.0,1,111.0,6.4599440532635874,10.830937713894592,163.0
1050764,0,,10075.0,1,108.0,MN32,40.771551,-73.950296,1,1,3956,3,0,16.0,3,3,25.0,26.0,0,22,17,11,1,3,360.0,1015760001,1960.0,20.0,112.0,114.0,206079.0,22741650.0,3,66.0,7.356821971341113,10.830937713894592,360.0
1051163,0,,10028.0,1,108.0,MN32,40.773024,-73.948248,1,1,3948,1,0,23.0,1,1,,,0,21,16,11,1,3,426.0,1015790015,1962.0,13.0,94.0,94.0,95642.0,11856150.0,3,64.0,7.073943685216916,10.809034907597535,426.0
1048303,1,D_added_by0716,10128.0,1,108.0,MN40,40.782578,-73.953321,1,1,3962,7,0,30.0,7,7,55.0,100.0,0,11,5,4,1,3,822.0,1015200050,1930.0,10.0,0.0,1.0,262107.0,31928850.0,8,96.0,7.504183276583655,10.847364818617386,822.0
1050118,0,,10128.0,1,108.0,MN32,40.77903,-73.948489,1,1,3949,6,0,16.0,6,6,85.0,90.0,0,22,14,8,1,3,140.0,1015527504,2002.0,31.0,156.0,157.0,175111.0,34076838.0,4,24.0,7.532459289649197,10.811772758384668,140.0
1090563,1,D_added_by0716,10128.0,1,108.0,MN32,40.784465,-73.949745,1,2,3048,5,0,17.0,5,5,48.5,118.0,0,20,15,11,1,3,1214.0,1015407503,2016.0,30.0,105.0,108.0,246858.0,56849858.0,4,10.0,7.754729384241108,8.344969199178644,1214.0
1090440,0,,10128.0,1,108.0,MN32,40.784096,-73.94677,1,1,2645,6,0,2.0,6,6,27.0,196.0,0,6,1,1,1,1,1259.0,1015587501,2017.0,21.0,46.0,54.0,53585.0,9344895.0,3,9.0,6.970574425974156,7.241615331964408,1259.0
1048139,0,,10128.0,1,,MN40,40.782003,-73.954134,1,1,3947,3,0,23.0,3,3,140.0,252.0,0,16,12,9,1,3,427.0,1015187501,1962.0,15.0,102.0,104.0,81461.0,13402798.0,4,64.0,7.127195472179144,10.806297056810404,427.0
1046769,1,A_doh0710_complete,10028.0,1,108.0,MN40,40.779381,-73.961394,1,1,3944,5,0,24.0,5,5,54.5,182.0,0,29,21,17,1,3,576.0,1014940059,1963.0,15.0,84.0,87.0,179576.0,21123900.0,3,63.0,7.324774102882402,10.798083504449007,576.0
1050351,0,,10075.0,1,,MN32,40.772146,-73.950715,1,1,3897,4,0,14.0,4,4,48.0,246.0,0,31,23,15,1,3,324.0,1015590031,1910.0,8.0,0.0,1.0,38106.0,4200300.0,8,116.0,6.623280310324481,10.669404517453799,324.0
